2026-04-28 15:10:00,006 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T14:10:00.005643+00:00
2026-04-28 15:10:06,503 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=6478 signal_id=- detail=Predicted move magnitude 0.2 pips below minimum 5.0
2026-04-28 15:15:00,009 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T14:15:00.009331+00:00
2026-04-28 15:15:00,284 | INFO | schedule.execution | run.start schedule_id=sch_f733a9b7f1 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T14:15:00.284907+00:00
2026-04-28 15:15:13,265 | INFO | schedule.execution | run.end schedule_id=sch_f733a9b7f1 status=SKIPPED duration_ms=7729 signal_id=- detail=Predicted move magnitude 7.7 pips below minimum 15.0
2026-04-28 15:15:14,160 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SUCCESS duration_ms=14133 signal_id=sig_410255d7c1 detail=EURUSD H1 SELL
2026-04-28 15:20:00,005 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T14:20:00.005675+00:00
2026-04-28 15:20:05,723 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=5695 signal_id=- detail=Predicted move magnitude 2.2 pips below minimum 5.0
2026-04-28 15:24:37,074 | INFO | schedule.execution | Schedule execution audit logger ready (file: /Users/moshoodsikiru/Documents/ai-fx-trader/logs/schedule-execution.log)
2026-04-28 15:25:00,001 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T14:25:00.001708+00:00
2026-04-28 15:25:14,432 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SUCCESS duration_ms=14400 signal_id=sig_14537b0d3b detail=EURUSD H1 SELL
2026-04-28 15:30:00,001 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T14:30:00.001224+00:00
2026-04-28 15:30:00,186 | INFO | schedule.execution | run.start schedule_id=sch_f733a9b7f1 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T14:30:00.185996+00:00
2026-04-28 15:30:09,187 | INFO | schedule.execution | run.end schedule_id=sch_f733a9b7f1 status=SKIPPED duration_ms=8939 signal_id=- detail=Predicted move magnitude 2.8 pips below minimum 15.0
2026-04-28 15:30:09,192 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=5450 signal_id=- detail=Predicted move magnitude 3.2 pips below minimum 5.0
2026-04-28 15:35:00,001 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T14:35:00.001831+00:00
2026-04-28 15:35:05,509 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=5486 signal_id=- detail=Predicted move magnitude 3.0 pips below minimum 5.0
2026-04-28 15:40:00,003 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T14:40:00.003321+00:00
2026-04-28 15:40:06,205 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=6175 signal_id=- detail=Predicted move magnitude 4.1 pips below minimum 5.0
2026-04-28 15:45:00,010 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T14:45:00.010186+00:00
